tract,Name,Household_Income_rP_gP_p25
27123041800,"Roseville, MN",41272
27053027503,"Excelsior, MN",41271
27019090601,"Chanhassen, MN",41232
27003051203,"Fridley, MN",41206
27123042700,"North Saint Paul, MN",41180
27053022000,"Blackstone, Minneapolis, MN",41164
27163071206,"Cottage Grove, MN",41063
27053022901,"Wolfe Park, Minneapolis, MN",41013
27053026512,"Minneapolis, MN",40965
27123040402,"White Bear Lake, MN",40906
27037060727,"Eagan, MN",40842
27053026712,"Maple Grove, MN",40820
27123040604,"Vadnais Heights, MN",40636
27053011704,"Diamond Lake, Minneapolis, MN",40584
27123040504,"White Bear Lake, MN",40577
27053026822,"Minneapolis, MN",40500
27053026507,"Plymouth, MN",40427
27053026714,"Osseo, MN",40346
27053111200,"Southwest Minneapolis, Minneapolis, MN",40238
27123042402,"Maplewood, MN",40220
27053026019,"Eden Prairie, MN",40142
27123035200,"Macalester - Groveland, Saint Paul, MN",40054
27053026713,"Maple Grove, MN",40049
27123030300,"Como, Saint Paul, MN",40045
27123041001,"Mounds View, MN",39971
27123041103,"Minneapolis, MN",39957
27037060202,"South Saint Paul, MN",39937
27053111300,"Fulton, Minneapolis, MN",39795
27053021602,"Golden Valley, MN",39751
27053021001,"Valley Place, Minneapolis, MN",39729
27053021601,"Minneapolis, MN",39650
27053026206,"Minnetonka, MN",39644
27053026104,"Hopkins, MN",39636
27053111600,"Nokomis, Minneapolis, MN",39598
27053021504,"Minneapolis, MN",39586
27053108000,"Calhoun Isles, Minneapolis, MN",39518
27123037500,"Highland, Saint Paul, MN",39486
27123040302,"White Bear Lake, MN",39480
27123040401,"White Bear Lake, MN",39447
27163071003,"Newport, MN",39361
27163070906,"Saint Paul, MN",39359
27053025702,"West Bloomington, Bloomington, MN",39340
27123040502,"White Bear Lake, MN",39317
27053000603,"Northeast Minneapolis, Minneapolis, MN",39298
27053026807,"Minneapolis, MN",39148
27163070907,"Saint Paul, MN",39104
27053111500,"Tangletown, Minneapolis, MN",39100
27053021400,"Minneapolis, MN",39046
27003051001,"Spring Lake Park, MN",39045
27053025401,"East Bloomington, Minneapolis, MN",38963
27053026514,"Minneapolis, MN",38960
27053111100,"Nokomis, Minneapolis, MN",38936
27037060726,"Saint Paul, MN",38888
27053011800,"Keewaydin, Minneapolis, MN",38882
27053020700,"Twin Oaks, Crystal, MN",38799
27053126200,"North Loop, Minneapolis, MN",38652
27037060508,"Inver Grove Heights, MN",38597
27053109000,"Howe, Minneapolis, MN",38530
27053022700,"Birchwood, Minneapolis, MN",38368
27053003800,"Marcy-Holmes, Minneapolis, MN",38345
27053011703,"Hale, Minneapolis, MN",38322
27053026815,"Brooklyn Park, MN",38309
27053022101,"Eliot, Minneapolis, MN",38259
27053122600,"Lenox, Minneapolis, MN",38247
27053025205,"East Bloomington, Minneapolis, MN",38246
27053021900,"Golden Valley, MN",38226
27053022302,"Aquila, Saint Louis Park, MN",38216
27053021200,"Minneapolis, MN",38119
27053021503,"Minneapolis, MN",38080
27037060604,"Mendota Heights, MN",38071
27163071006,"Woodbury, MN",38053
27123042301,"Maplewood, MN",37930
