"tract","Name","Household_Income_rP_gP_p75"
27053022101,"Eliot, Minneapolis, MN",58222
27053021002,"Valley Place, Minneapolis, MN",58219
27053020303,"Minneapolis, MN",58154
27053126200,"North Loop, Minneapolis, MN",58136
27053021200,"Minneapolis, MN",58118
27053026712,"Maple Grove, MN",58117
27053022901,"Wolfe Park, Minneapolis, MN",58073
27037060101,"Saint Paul, MN",57973
27053111500,"Tangletown, Minneapolis, MN",57915
27123035700,"Summit Hill, Saint Paul, MN",57784
27053104900,"University of Minnesota - Twin Cities, Minneapolis, MN",57726
27037060505,"Inver Grove Heights, MN",57605
27003051202,"Fridley, MN",57560
27123036500,"Macalester - Groveland, Saint Paul, MN",57473
27053111200,"Southwest Minneapolis, Minneapolis, MN",57466
27123036000,"West Seventh, Saint Paul, MN",57431
27123032100,"Midway, Saint Paul, MN",57426
27053021602,"Golden Valley, MN",57353
27053021300,"Minneapolis, MN",57255
27053026711,"Maple Grove, MN",57247
27053011704,"Diamond Lake, Minneapolis, MN",57211
27053021100,"Robbinsdale, MN",57208
27003051502,"Minneapolis, MN",57200
27123030602,"Payne - Phalen, Saint Paul, MN",57110
27053011998,"Minnehaha, Minneapolis, MN",57093
27053024903,"Richfield, MN",57087
27053109800,"Southwest Minneapolis, Minneapolis, MN",57005
27123035300,"Lexington - Hamline South, Saint Paul, MN",56998
27053026007,"Eden Prairie, MN",56923
27053106600,"Calhoun Isles, Minneapolis, MN",56919
27053026807,"Minneapolis, MN",56730
27053026818,"Brooklyn Park, MN",56673
27053020500,"Brooklyn Center, MN",56644
27053026514,"Minneapolis, MN",56611
27053008400,"Powderhorn, Minneapolis, MN",56587
27053111600,"Nokomis, Minneapolis, MN",56452
27123036900,"West Seventh, Saint Paul, MN",56302
27123033300,"Merriam Park West, Saint Paul, MN",56167
27053022200,"Westwood Hills, Minneapolis, MN",56082
27037060202,"South Saint Paul, MN",56027
27123034900,"Merriam Park, Saint Paul, MN",55895
27053020801,"Broadway, Minneapolis, MN",55867
27053022700,"Birchwood, Minneapolis, MN",55853
27053126100,"Central Minneapolis, Minneapolis, MN",55781
27053000300,"Victory, Minneapolis, MN",55761
27053022302,"Aquila, Saint Louis Park, MN",55690
27053106500,"Calhoun Isles, Minneapolis, MN",55621
27053020804,"Becker, Minneapolis, MN",55580
27053109700,"Powderhorn, Minneapolis, MN",55562
27053122500,"Oak Hill, Saint Louis Park, MN",55561
27053023000,"Brooklawns, Minneapolis, MN",55442
27123030300,"Como, Saint Paul, MN",55434
27053022400,"Bronx Park, Saint Louis Park, MN",55414
27053020200,"Minneapolis, MN",55225
27053001700,"Northeast Minneapolis Arts District, Minneapolis, MN",55149
27053020304,"Minneapolis, MN",55143
27053011800,"Keewaydin, Minneapolis, MN",55118
27037060105,"West Saint Paul, MN",55102
27053021501,"Minneapolis, MN",55087
27123032000,"Midway, Saint Paul, MN",54824
27123037601,"Highland, Saint Paul, MN",54723
27123042101,"Little Canada, MN",54682
27053024400,"Richfield, MN",54661
27053010700,"Southwest Minneapolis, Minneapolis, MN",54655
27053012001,"Southwest Minneapolis, Minneapolis, MN",54650
27123034701,"Conway, Saint Paul, MN",54634
27053024802,"Minneapolis, MN",54630
27053101200,"Northeast Minneapolis, Minneapolis, MN",54574
27053012003,"Southwest Minneapolis, Minneapolis, MN",54552
27053026819,"Brooklyn Park, MN",54512
27053022301,"Minnehaha, Saint Louis Park, MN",54481
27053023200,"Hopkins, MN",54422
27053026815,"Brooklyn Park, MN",54369
27053105500,"Calhoun Isles, Minneapolis, MN",54293
27053011703,"Hale, Minneapolis, MN",54252
27053021601,"Minneapolis, MN",54163
27123031100,"Payne - Phalen, Saint Paul, MN",54148
27053021700,"Golden Valley, MN",53929
27123032200,"Midway, Saint Paul, MN",53808
27053020700,"Twin Oaks, Crystal, MN",53678
27123030400,"North End, Saint Paul, MN",53660
27123037402,"Battle Creek, Saint Paul, MN",53616
27053110500,"Hiawatha, Minneapolis, MN",53611
27053020903,"Forest, Crystal, MN",53587
27053022102,"Willow Park, Saint Louis Park, MN",53561
27053021400,"Minneapolis, MN",53512
27053109000,"Howe, Minneapolis, MN",53495
27123030703,"Greater East Side, Saint Paul, MN",53494
27053023400,"Hopkins, MN",53342
27053006800,"Powderhorn, Minneapolis, MN",53286
27003051501,"Columbia Heights, MN",53125
27123032500,"Thomas - Dale, Saint Paul, MN",52986
27123035200,"Macalester - Groveland, Saint Paul, MN",52948
27053109300,"Lyndale, Minneapolis, MN",52856
27053100500,"Northeast Minneapolis, Minneapolis, MN",52801
27053106000,"Phillips, Minneapolis, MN",52725
27053012102,"Nokomis, Minneapolis, MN",52713
27053106700,"Lowry Hill East, Minneapolis, MN",52598
27053122600,"Lenox, Minneapolis, MN",52433
27123033400,"Snelling Hamline, Saint Paul, MN",52402
27053024004,"Minneapolis, MN",52226
27053002400,"Northeast Minneapolis, Minneapolis, MN",52207
27123030500,"North End, Saint Paul, MN",52187
27123034500,"Dayton's Bluff, Saint Paul, MN",52098
27053023600,"Country Club, Minneapolis, MN",52053
27053111100,"Nokomis, Minneapolis, MN",51963
27053008300,"Central, Minneapolis, MN",51894
27053107400,"Longfellow, Minneapolis, MN",51777
27053108900,"Howe, Minneapolis, MN",51719
27053003800,"Marcy-Holmes, Minneapolis, MN",51613
27053012101,"Nokomis, Minneapolis, MN",51570
27123030800,"North End, Saint Paul, MN",51537
27003051206,"Fridley, MN",51489
27123031702,"Greater East Side, Saint Paul, MN",51354
27053109400,"Powderhorn, Minneapolis, MN",51197
27123042002,"Lauderdale, MN",51196
27053020302,"Minneapolis, MN",51180
27053109200,"Minneapolis, MN",51180
27053104000,"Como, Minneapolis, MN",51170
27053020400,"Brooklyn Center, MN",51107
27123034602,"Saint Paul, MN",51082
27123032300,"Midway, Saint Paul, MN",51049
27053105204,"Central Minneapolis, Minneapolis, MN",51049
27053021502,"New Hope, MN",50911
27003051400,"Minneapolis, MN",50831
27037060102,"Saint Paul, MN",50497
27053100200,"Webber-Camden, Minneapolis, MN",50145
27053107600,"Cooper, Minneapolis, MN",50065
27123031200,"North End, Saint Paul, MN",50038
27053108000,"Calhoun Isles, Minneapolis, MN",50022
27123034000,"Cathedral Hill, Saint Paul, MN",49772
27053024901,"Minneapolis, MN",49768
27053108700,"Corcoran, Minneapolis, MN",49419
27053022000,"Blackstone, Minneapolis, MN",49329
27123030100,"St. Anthony Park, Saint Paul, MN",49312
27123042800,"Thomas - Dale, Saint Paul, MN",49289
27053109900,"Kingfield, Minneapolis, MN",49265
27123035500,"Cathedral Hill, Saint Paul, MN",49262
27123042201,"Maplewood, MN",49204
27123031500,"Payne - Phalen, Saint Paul, MN",49049
27123030900,"Payne - Phalen, Saint Paul, MN",49044
27003051304,"Columbia Heights, MN",49030
27053024600,"Minneapolis, MN",49003
27053000601,"Northeast Minneapolis, Minneapolis, MN",48975
27053110800,"Southwest Minneapolis, Minneapolis, MN",48948
27053011000,"Northrop, Minneapolis, MN",48910
27053106900,"Powderhorn, Minneapolis, MN",48690
27123035800,"Saint Paul, MN",48460
27123030601,"Payne - Phalen, Saint Paul, MN",48415
27123042900,"Summit - University, Saint Paul, MN",48354
27053009600,"Powderhorn, Minneapolis, MN",48268
27053105700,"Central Minneapolis, Minneapolis, MN",48200
27123030704,"Greater East Side, Saint Paul, MN",48199
27053109100,"Southwest Minneapolis, Minneapolis, MN",48177
27123031801,"Greater East Side, Saint Paul, MN",48069
27053026809,"Minneapolis, MN",48035
27053105600,"Central Minneapolis, Minneapolis, MN",47869
27053108800,"Longfellow, Minneapolis, MN",47849
27053110400,"Minneapolis, MN",47844
27123036700,"West Seventh, Saint Paul, MN",47368
27123031000,"Payne - Phalen, Saint Paul, MN",47283
27123032700,"Thomas - Dale, Saint Paul, MN",47230
27053101600,"Hawthorne, Minneapolis, MN",47212
27053110100,"Powderhorn, Minneapolis, MN",47105
27053008100,"Calhoun Isles, Minneapolis, MN",47052
27053103600,"Nicollet Island, Minneapolis, MN",47021
27053000603,"Northeast Minneapolis, Minneapolis, MN",46865
27053106400,"Seward, Minneapolis, MN",46833
27053106200,"Seward, Minneapolis, MN",46613
27053110200,"Powderhorn, Minneapolis, MN",46604
27123034601,"Dayton's Bluff, Saint Paul, MN",46584
27053125700,"Jordan, Minneapolis, MN",46473
27053107500,"Seward, Minneapolis, MN",46421
27123037200,"West Side, Saint Paul, MN",46415
27053000102,"Lind-Bohanon, Minneapolis, MN",46378
27053125600,"Prospect Park, Minneapolis, MN",46151
27123036800,"West Seventh, Saint Paul, MN",46017
27123034202,"Downtown, Saint Paul, MN",45986
27053100800,"Folwell, Minneapolis, MN",45961
27123031701,"Dayton's Bluff, Saint Paul, MN",45901
27123032400,"Thomas - Dale, Saint Paul, MN",45683
27053100700,"Cleveland, Minneapolis, MN",45270
27053102300,"Hawthorne, Minneapolis, MN",45224
27053000101,"Shingle Creek, Minneapolis, MN",45135
27123037602,"Highland, Saint Paul, MN",44772
27053104800,"Cedar-Riverside, Minneapolis, MN",44738
27123034400,"Dayton's Bluff, Saint Paul, MN",44526
27053102000,"Willard-Hay, Minneapolis, MN",44511
27053009500,"Central, Minneapolis, MN",44174
27053100900,"McKinley, Minneapolis, MN",44007
27123033600,"Summit - University, Saint Paul, MN",43471
27053102900,"Near North, Minneapolis, MN",43304
27123035900,"West Seventh, Saint Paul, MN",43289
27053980000,"Saint Paul, MN",43003
27053008200,"Lyndale, Minneapolis, MN",42414
27053104400,"Downtown West, Minneapolis, MN",42253
27053007801,"Whittier, Minneapolis, MN",42153
27053101800,"Northeast Minneapolis, Minneapolis, MN",42075
